"question","pred","truth"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Ethylene tetrafluoroethylene [Tefzel ZM] represented by SMILES [*]CCC(F)(F)C([*])(F)F, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","-0.046","-0.017"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyethylene terephthalate [Mylar A-200] represented by SMILES [*]OCCOC(=O)c1ccc(C([*])=O)cc1, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","0.519","0.479"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with back surface silver/niobium coating, oriented in the ram direction for a mission time of 1.0 years, subjected to a solar exposure of 1400 equivalent sun hours and an atomic oxygen fluence of 2.150e+21 atom/cm^2?","-0.301","-0.893"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyvinyl alcohol [MonoSol M1000] represented by SMILES [*]CC([*])O, with no coating, oriented in the ram direction for a mission time of 1.5 years, subjected to a solar exposure of 2400 equivalent sun hours and an atomic oxygen fluence of 4.220e+21 atom/cm^2?","0.568","0.497"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyethylene oxide [Alkox E-30 powder] represented by SMILES [*]COC[*], with no coating, oriented in the ram direction for a mission time of 1.5 years, subjected to a solar exposure of 2400 equivalent sun hours and an atomic oxygen fluence of 4.220e+21 atom/cm^2?","0.241","0.439"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyvinylidene fluoride (PVDF) represented by SMILES [*]CC([*])(F)F, with no coating, oriented in the zenith direction for a mission time of 1.5 years, subjected to a solar exposure of 4300 equivalent sun hours and an atomic oxygen fluence of 1.580e+20 atom/cm^2?","0.241","0.241"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Crystalline polyvinyl fluoride [White Tedlar TW10B53] represented by SMILES [*]CC([*])F, with white pigment coating, oriented in the ram direction for a mission time of 2.0 years, subjected to a solar exposure of 3200 equivalent sun hours and an atomic oxygen fluence of 4.620e+21 atom/cm^2?","-0.676","-0.839"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyoxymethylene (Delrin acetal) represented by SMILES [*]CO[*], with no coating, oriented in the ram direction for a mission time of 0.77 years, subjected to a solar exposure of 1232 equivalent sun hours and an atomic oxygen fluence of 3.440e+20 atom/cm^2?","0.641","1.401"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] (FEP/Ag/Inconel) represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with silver and Inconel coating, oriented in the wake direction for a mission time of 0.54 years, subjected to a solar exposure of 720 equivalent sun hours and an atomic oxygen fluence of 4.460e+16 atom/cm^2?","1.301","2.721"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Mylar A represented by SMILES [*]OCCOC(=O)c1ccc(C([*])=O)cc1, with no coating, oriented in the ram direction for a mission time of 0.00476598 years, subjected to a solar exposure of 20 equivalent sun hours and an atomic oxygen fluence of 3.500e+20 atom/cm^2?","0.556","0.531"
